datetime,trade_code,open,high,low,close,volume,amount,chg,pctchg
2000/7/20,000001.SH,1999.089,2003.802,1979.875,1991.56,928287700,12997399525,-6.866,-0.34357
2000/7/21,000001.SH,1994.423,1998.347,1991.838,1996.336,859313900,10809192538,4.776,0.239812
2000/7/24,000001.SH,1998.245,1999.903,1982.881,1989.239,927517800,11390178883,-7.097,-0.355501
2000/7/25,000001.SH,1990.149,1997.849,1989.086,1996.577,875170100,11050167962,7.338,0.368885
2000/7/26,000001.SH,1999.442,2012.395,1999.403,2012.319,951206800,11679823681,15.742,0.788449
2000/7/27,000001.SH,2017.457,2024.998,2004.549,2012.35,1198327300,14663281244,0.031,0.001541
2000/7/28,000001.SH,2014.113,2016.94,2006.172,2012.793,1094381500,13327394014,0.443,0.022014
2000/7/31,000001.SH,2016.144,2023.568,2008.637,2023.539,1230729200,15328029544,10.746,0.533885
2000/8/1,000001.SH,2027.013,2031.925,2023.453,2028.151,902065500,11273846756,4.612,0.227918
2000/8/2,000001.SH,2030.789,2033.191,2018.481,2030.683,897428600,11096046306,2.532,0.124843
2000/8/3,000001.SH,2032.937,2038.654,2030.101,2036.301,1097299000,13159629109,5.618,0.276656
2000/8/4,000001.SH,2037.468,2041.283,2013.45,2026.361,1173918600,14517949662,-9.94,-0.48814
2000/8/7,000001.SH,2025.182,2039.419,2017.903,2039.419,1071271400,13194100193,13.058,0.644406
2000/8/8,000001.SH,2042.745,2050.073,2040.783,2049.916,1086461200,13489696737,10.497,0.514705
2000/8/9,000001.SH,2051.654,2061.284,2048.494,2061.18,1226967100,15774777618,11.264,0.549486
2000/8/10,000001.SH,2065.305,2067.745,2053.861,2065.943,1322559300,17966576839,4.763,0.231081
2000/8/11,000001.SH,2067.784,2070.298,2055.2,2062.666,1136176000,15406527866,-3.277,-0.15862
2000/8/14,000001.SH,2065.935,2076.328,2065.935,2076.3,1080668500,13785725922,13.634,0.660989
2000/8/15,000001.SH,2079.069,2082.736,2066.16,2076.823,1034044800,12776113990,0.523,0.025189
2000/8/16,000001.SH,2078.485,2083.467,2072.984,2083.467,1064598200,13458292833,6.644,0.319912
2000/8/17,000001.SH,2086.809,2092.329,2086.559,2091.586,1111404800,13776078846,8.119,0.389687
2000/8/18,000001.SH,2093.632,2097.315,2086.754,2090.183,1034095500,12914594476,-1.403,-0.067078
2000/8/21,000001.SH,2095.378,2108.879,2093.418,2108.69,1351556100,16485780029,18.507,0.885425
2000/8/22,000001.SH,2112.017,2114.522,2074.52,2074.703,1316762200,15718825765,-33.987,-1.611759
2000/8/23,000001.SH,2064.045,2080.144,1980.345,2057.919,1889864800,23007105523,-16.784,-0.808983
2000/8/24,000001.SH,2058.529,2073.947,2043.206,2071.161,1374608400,17062325376,13.242,0.643466
2000/8/25,000001.SH,2073.715,2086.721,2066.329,2086.703,1023534200,13463882545,15.542,0.7504
2000/8/28,000001.SH,2092.122,2100.7,2085.601,2100.585,1121621900,14500828320,13.882,0.66526
2000/8/29,000001.SH,2103.033,2105.634,2094.609,2105.476,1003861200,13338550026,4.891,0.23284
2000/8/30,000001.SH,2107.019,2108.097,2075.16,2076.143,1004270200,13796935152,-29.333,-1.393177
2000/8/31,000001.SH,2062.835,2064.76,2019.447,2021.199,1122430800,13998246936,-54.944,-2.646446
2000/9/1,000001.SH,2009.151,2026.351,1997.717,1999.859,931539000,11909299071,-21.34,-1.055809
2000/9/4,000001.SH,1994.885,2010.602,1981.229,2010.602,763882000,9573130897,10.743,0.537188
2000/9/5,000001.SH,2015.062,2020.847,1959.592,1963.792,717958300,8915757703,-46.81,-2.328158
2000/9/6,000001.SH,1955.499,1964.265,1923.598,1925.907,720582700,8866106842,-37.885,-1.929176
2000/9/7,000001.SH,1929.296,1963.228,1929.296,1950.663,624957200,7624529243,24.756,1.28542
2000/9/8,000001.SH,1955.153,1963.891,1945.918,1959.312,572772000,7143496715,8.649,0.443388
2000/9/11,000001.SH,1963.271,1972.076,1956.078,1972.043,616319800,7367591968,12.731,0.649769
2000/9/12,000001.SH,1975.412,1979.322,1965.401,1979.095,543594200,6906092960,7.052,0.357599
2000/9/13,000001.SH,1980.528,1995.317,1975.126,1988.936,603444100,7726368744,9.841,0.497247
2000/9/14,000001.SH,1989.974,1992.366,1973.021,1979.505,510427700,6510989113,-9.431,-0.474173
2000/9/15,000001.SH,1978.037,1978.469,1966.879,1978.434,474006400,6103325893,-1.071,-0.054104
2000/9/18,000001.SH,1979.53,1981.129,1946.176,1946.753,517698500,6380457737,-31.681,-1.601317
2000/9/19,000001.SH,1937.319,1937.367,1895.49,1903.154,674231400,7938020137,-43.599,-2.239575
2000/9/20,000001.SH,1902.912,1922.295,1892.276,1922.289,510608300,6535647098,19.135,1.005436
2000/9/21,000001.SH,1924.83,1927.515,1905.653,1907.306,488490700,6417924970,-14.983,-0.779435
2000/9/22,000001.SH,1904.573,1904.573,1888.091,1891.984,518016000,6447665327,-15.322,-0.803332
2000/9/25,000001.SH,1889.904,1896.716,1874.21,1875.911,376553300,4674524252,-16.073,-0.849531
2000/9/26,000001.SH,1878.311,1890.672,1878.051,1887.829,344896700,4629184949,11.918,0.635318
2000/9/27,000001.SH,1889.875,1914.106,1889.873,1914.086,337982200,4291880230,26.257,1.390857
2000/9/28,000001.SH,1915.497,1917.061,1886.941,1889.289,381802700,5118582604,-24.797,-1.295501
2000/9/29,000001.SH,1888.201,1910.486,1888.07,1910.161,374559100,5101305167,20.872,1.104754
2000/10/9,000001.SH,1912.076,1915.495,1897.238,1915.35,516677600,5724802256,5.189,0.271652
2000/10/10,000001.SH,1917.896,1942.17,1917.683,1942.149,667750600,7010874613,26.799,1.39917
2000/10/11,000001.SH,1944.248,1948.014,1931.462,1933.726,725288900,7663055501,-8.423,-0.433695
2000/10/12,000001.SH,1933.143,1933.329,1918.466,1926.324,722605600,7630467733,-7.402,-0.382784
2000/10/13,000001.SH,1927.354,1932.318,1911.357,1918.157,664271900,7331121311,-8.167,-0.423968
2000/10/16,000001.SH,1917.446,1917.555,1897.906,1902.809,608503600,6096268604,-15.348,-0.800143
2000/10/17,000001.SH,1902.073,1909.49,1896.945,1909.49,417493600,4690517354,6.681,0.351112
2000/10/18,000001.SH,1911.705,1922.852,1911.705,1922.845,575503200,7781997420,13.355,0.699401
2000/10/19,000001.SH,1925.214,1927.366,1911.182,1913.42,596505800,5938198755,-9.425,-0.490159
2000/10/20,000001.SH,1913.162,1947.469,1912.378,1947.455,938766100,9689264200,34.035,1.778752
2000/10/23,000001.SH,1952.956,1960.86,1945.674,1958.938,857797400,9638933905,11.483,0.589641
2000/10/24,000001.SH,1960.366,1962.13,1945.527,1956.344,635728300,7342628845,-2.594,-0.132419
2000/10/25,000001.SH,1957.378,1978.992,1957.313,1977.254,1150654400,11408579782,20.91,1.06883
2000/10/26,000001.SH,1979.296,1980.626,1962.2,1967.673,1065276400,8684369309,-9.581,-0.484561
2000/10/27,000001.SH,1968.171,1971.785,1957.744,1967.405,903711100,7786520725,-0.268,-0.01362
2000/10/30,000001.SH,1967.653,1974.241,1962.812,1973.578,993944900,9374286601,6.173,0.313764
2000/10/31,000001.SH,1974.527,1979.994,1956.417,1961.287,909042200,7911979251,-12.291,-0.622778
2000/11/1,000001.SH,1961.081,1977.373,1959.721,1977.363,850194000,8196133274,16.076,0.819666
2000/11/2,000001.SH,1981.765,1992.857,1980.887,1984.26,893385100,8841706387,6.897,0.348798
2000/11/3,000001.SH,1984.986,1989.106,1977.21,1981.631,932081800,7328831088,-2.629,-0.132493
2000/11/6,000001.SH,1983.073,1992.879,1982.751,1991.173,999681900,8928639322,9.542,0.481523
2000/11/7,000001.SH,1993.454,1997.077,1990.059,1997.077,789874700,7278831072,5.904,0.296509
2000/11/8,000001.SH,1999.153,2012.988,1998.345,2012.908,925427200,8600386699,15.831,0.792709
2000/11/9,000001.SH,2016.22,2032.518,2014.838,2032.482,1405162800,13103294848,19.574,0.972424
2000/11/10,000001.SH,2037.084,2051.341,2033.627,2047.458,1396590000,15893170969,14.976,0.736833
2000/11/13,000001.SH,2054.479,2071.689,2053.44,2070.788,1440877700,15478739294,23.33,1.139462
2000/11/14,000001.SH,2072.793,2085.118,2055.212,2085.118,1244877700,14376826160,14.33,0.692007
2000/11/15,000001.SH,2087.277,2092.65,2074.377,2081.905,1333426700,14338161285,-3.213,-0.154092
2000/11/16,000001.SH,2081.139,2096.048,2080.608,2095.984,1282182000,14983268999,14.079,0.676256
2000/11/17,000001.SH,2098.888,2104.699,2084.899,2093.235,1180132600,13085711370,-2.749,-0.131156
2000/11/20,000001.SH,2092.591,2101.398,2078.277,2101.389,1310295900,13467538085,8.154,0.389541
2000/11/21,000001.SH,2104.068,2112.912,2095.582,2097.982,1247971900,12041539348,-3.407,-0.162131
2000/11/22,000001.SH,2097.281,2113.348,2091.624,2113.303,1214670700,12051088792,15.321,0.730273
2000/11/23,000001.SH,2119.156,2125.724,2109.219,2119.439,1249207700,14288672069,6.136,0.290351
2000/11/24,000001.SH,2119.01,2125.406,2045.514,2053.37,1649756100,16602799282,-66.069,-3.117287
2000/11/27,000001.SH,2041.155,2062.806,2031.931,2049.671,1058782600,11467955133,-3.699,-0.180143
2000/11/28,000001.SH,2052.776,2079.479,2052.776,2079.396,858896600,9261743752,29.725,1.450233
2000/11/29,000001.SH,2081.496,2082.901,2055.939,2067.495,994362900,10754439872,-11.901,-0.57233
2000/11/30,000001.SH,2067.07,2072.291,2057.041,2070.613,846555000,9115262372,3.118,0.150811
2000/12/1,000001.SH,2073.089,2082.028,2071.495,2081.843,1228528600,8622493778,11.23,0.542351
2000/12/4,000001.SH,2084.484,2092.323,2077.809,2092.139,1422885000,9442143252,10.296,0.494562
2000/12/5,000001.SH,2094.994,2097.289,2085.8,2091.67,1389586400,8833567259,-0.469,-0.022417
2000/12/6,000001.SH,2092.996,2095.436,2070.349,2075.627,1138332500,10794542961,-16.043,-0.766995
2000/12/7,000001.SH,2072.531,2078.142,2060.729,2075.044,968736100,10197656118,-0.583,-0.028088
2000/12/8,000001.SH,2074.566,2083.271,2069.66,2073.163,1158323500,10305751083,-1.881,-0.090649
2000/12/11,000001.SH,2072.283,2072.476,2039.003,2046.076,1198653400,9100692024,-27.087,-1.306554
2000/12/12,000001.SH,2045.17,2059.053,2037.901,2059.053,1099182900,9456604726,12.977,0.634238
2000/12/13,000001.SH,2057.383,2059.601,2050.178,2056.12,938510200,8631890286,-2.933,-0.142444
2000/12/14,000001.SH,2056.998,2059.273,2046.938,2051.079,1419281300,6874509928,-5.041,-0.245171
2000/12/15,000001.SH,2052.793,2055.609,2036.881,2039.364,1320590700,7922513796,-11.715,-0.571163
2000/12/18,000001.SH,2038.448,2044.56,2024.286,2044.545,1126258800,9212166317,5.181,0.25405
2000/12/19,000001.SH,2047.348,2056.757,2046.029,2049.032,1136818300,10994977020,4.487,0.219462
2000/12/20,000001.SH,2050.068,2071.309,2048.642,2071.268,1192071800,11135318459,22.236,1.085195
2000/12/21,000001.SH,2075.562,2086.939,2074.336,2076.886,1249834900,12452922887,5.618,0.271235
2000/12/22,000001.SH,2078.426,2079.967,2066.223,2069.768,1203266100,12617511504,-7.118,-0.342725
2000/12/25,000001.SH,2071.567,2075.213,2062.036,2068.174,1206101300,11965238322,-1.594,-0.077013
2000/12/26,000001.SH,2070.377,2076.408,2068.813,2076.266,1042805500,10872508580,8.092,0.391263
2000/12/27,000001.SH,2077.718,2079.762,2055.998,2058.244,1176163200,11810701345,-18.022,-0.868001
2000/12/28,000001.SH,2054.517,2061.051,2047.742,2053.704,1384240000,11352368203,-4.54,-0.220576
2000/12/29,000001.SH,2055.828,2073.878,2055.505,2073.477,1365868000,11666403733,19.773,0.962797
2001/1/2,000001.SH,2077.076,2103.538,2074.882,2103.469,1865074600,13405094725,29.992,1.446459
2001/1/3,000001.SH,2108.254,2123.9,2105.497,2123.899,1715767300,17516832575,20.43,0.971253
2001/1/4,000001.SH,2125.485,2127.419,2113.179,2117.405,1342354100,14295245398,-6.494,-0.305758
2001/1/5,000001.SH,2117.664,2125.381,2114.056,2125.3,1328817500,14844236253,7.895,0.372862
2001/1/8,000001.SH,2128.602,2131.98,2092.097,2102.064,1478708500,15887661764,-23.236,-1.093304
2001/1/9,000001.SH,2099.323,2111.1,2082.841,2101.135,1164933800,11581766655,-0.929,-0.044195
2001/1/10,000001.SH,2102.085,2125.67,2102.066,2125.615,1291688300,13026253420,24.48,1.165085
2001/1/11,000001.SH,2129.61,2131.368,2117.029,2119.141,1407220900,14615713425,-6.474,-0.304571
2001/1/12,000001.SH,2116.846,2117.727,2100.273,2104.747,1066088200,11017289330,-14.394,-0.679237
2001/1/15,000001.SH,2097.091,2097.092,2030.288,2032.443,1499858800,13412559204,-72.304,-3.435282
2001/1/16,000001.SH,2018.298,2045.946,2007.706,2045.887,1158372200,10405910779,13.444,0.66147
2001/1/17,000001.SH,2046.377,2048.695,2031.756,2034.584,732413400,6609475901,-11.303,-0.552474
2001/1/18,000001.SH,2033.686,2049.355,2033.576,2043.11,1034157100,8381612881,8.526,0.419054
2001/1/19,000001.SH,2046.581,2067.877,2046.541,2065.606,1183126400,8601583114,22.496,1.101067
2001/2/5,000001.SH,2069.856,2072.547,2005.683,2008.032,897424300,7400294453,-57.574,-2.787269
2001/2/6,000001.SH,1999.723,1999.725,1956.178,1995.315,952842700,7974362139,-12.717,-0.633307
2001/2/7,000001.SH,1995.603,1998.25,1978.599,1979.939,588222900,5171535537,-15.376,-0.770605
2001/2/8,000001.SH,1977.559,1986.898,1926.4,1930.138,888573700,7517260413,-49.801,-2.51528
